datasetURI,distributionURI,accessURL,mediaType,catalogTitle,,,,
http://data.europa.eu/88u/dataset/47930-luchtfoto-beeldmateriaal-2023-7-5cm-rgb-open-data,http://data.europa.eu/88u/distribution/91009a2a-dff4-4589-a1ff-cafd3aa9ca16,https://github.com/kadaster/metagegevens-voorbeelden/raw/master/Beeldmateriaal_LR.JPG,,Dataportaal van de Nederlandse overheid,,,,
http://data.europa.eu/88u/dataset/emergenza-covid19-regione-calabria,http://data.europa.eu/88u/distribution/06393712-dfec-4b27-b092-015fd1409241,https://raw.githubusercontent.com/unicalportale/dati-epidemiologici/main/COVID-19/covid19-provincia-catanzaro.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/link-utili,http://data.europa.eu/88u/distribution/fe82cced-3833-41c9-a557-82c878a69232,https://raw.githubusercontent.com/emergenzeHack/terremotocentro/master/_data/links.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/influenza-stagionale,http://data.europa.eu/88u/distribution/0ba7fd2c-3612-4071-99f0-215e734366c1,https://raw.githubusercontent.com/unicalportale/dati-epidemiologici/main/influenza-stagionale/data-aggregated/vaccination-data/timeseries-regional-vaccinations.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/emergenza-covid19-regione-calabria,http://data.europa.eu/88u/distribution/dc140234-5ecf-4726-be0a-75763fc6ad60,https://raw.githubusercontent.com/unicalportale/dati-epidemiologici/main/COVID-19/covid19-provincia-crotone.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/pdnd-distribuzione-degli-enti-per-attivita,http://data.europa.eu/88u/distribution/ed395898-5856-488b-8a25-1d3f23dceeef,https://raw.githubusercontent.com/italia/pdnd-opendata/main/data/distribuzione_degli_enti_per_attivita.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/emergenza-covid19-regione-calabria,http://data.europa.eu/88u/distribution/61d16940-08ca-4ebb-a9ca-db01135e94f3,https://raw.githubusercontent.com/unicalportale/dati-epidemiologici/main/COVID-19/covid19-provincia-vibovalentia.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/attivita-residenti-2023,http://data.europa.eu/88u/distribution/b2bbf86d-d081-4e07-9b34-5af96bb64c4e,https://github.com/italia/anpr-opendata/blob/main/data/stats/attivita_residenti_2023_export.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/influenza-stagionale,http://data.europa.eu/88u/distribution/448f5669-f82f-4e9b-b550-304672950f9d,https://raw.githubusercontent.com/unicalportale/dati-epidemiologici/main/influenza-stagionale/data-aggregated/epidemiological-data/timeseries-regional-cases.csv,text/csv,dati.gov.it,,,,
http://data.europa.eu/88u/dataset/pdnd-distribuzione-degli-enti-per-attivita,http://data.europa.eu/88u/distribution/e074126f-9d4c-46e9-ad40-e30b3a3380b3,https://raw.githubusercontent.com/italia/pdnd-opendata/main/data/distribuzione_degli_enti_per_attivita.json,application/json,dati.gov.it,,,,
